VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;POCPROCVSE;MANDAT;PORADIMAND;PORADINAHR
8;24;5;"Petr";"Hamáèek";"Mgr.";"";39;"1. místostarosta";"Jièín";572659;1;1;"A";569;0;3.49;"N";0;4
8;24;6;"Martin";"Machù";"Ing.";"";38;"krajskı tajemník KDU-ÈSL";"Èernèice";573957;1;1;"A";406;0;2.49;"N";0;5
8;24;7;"Luboš";"Øehák";"";"";49;"projektovı manaer MAS POHODA venkova";"Val";576875;1;1;"A";431;0;2.64;"N";0;6
8;24;8;"Jiøí";"Veselı";"MUDr.";"";48;"lékaø";"Broumov";573922;1;1;"A";725;0;4.44;"N";0;7
8;24;9;"Jan";"Janoušek";"Ing.";"";38;"projektant dopravních staveb";"Jièín";572659;1;1;"A";264;0;1.62;"N";0;8
8;24;10;"Jan";"Falta";"Ing. arch.";"";51;"autorizovanı architekt a památkáø";"Hradec Králové";569810;1;1;"A";448;0;2.74;"N";0;9
8;24;11;"Miroslav";"Uchytil";"Ing.";"";59;"starosta";"Chlumec nad Cidlinou";570109;1;1;"A";462;0;2.83;"N";0;10
8;24;12;"Antonín";"Petráèek";"MUDr.";"";49;"lékaø";"Dvùr Králové nad Labem";579203;99;1;"A";357;0;2.19;"N";0;11
8;24;13;"Jan";"Èáp";"prof. MUDr.";"CSc.";64;"lékaø, vysokoškolskı uèitel";"Hradec Králové";569810;1;1;"A";624;0;3.82;"N";0;12
8;24;14;"Pavla";"Maršíková";"Ing.";"";69;"místostarostka";"Náchod";573868;1;1;"A";295;0;1.81;"N";0;13
8;24;15;"Jiøí";"Jína";"Mgr.";"";27;"pedagog na gymnáziu, muzikant";"Nová Paka";573248;99;1;"A";285;0;1.74;"N";0;14
8;24;16;"Antonín";"Novotnı";"";"";73;"starosta";"Podbøezí";576654;1;1;"A";251;0;1.54;"N";0;15
8;24;17;"Tomáš";"Krejèí";"MVDr.";"";60;"veterinární lékaø";"Vítìzná";579815;1;1;"A";192;0;1.17;"N";0;16
